timestamp,datapath_id,flow_id,ip_src,ip_dst,ip_proto,src_port,dst_port,packet_count,byte_count,duration_sec,duration_nsec,byte_rate,packet_rate,label
1764246458.5911489,1,"(1, '10.0.0.4', '10.0.0.8', 1, 0, 0)",10.0.0.4,10.0.0.8,1,0,0,7,4130,6,505000000,0.0,0.0,control_traffic
1764246458.5911489,1,"(1, '10.0.0.2', '10.0.0.5', 1, 0, 0)",10.0.0.2,10.0.0.5,1,0,0,7,4130,4,496000000,589.7051474262868,0.9995002498750623,control_traffic
1764246458.5911489,1,"(1, '10.0.0.4', '10.0.0.6', 1, 0, 0)",10.0.0.4,10.0.0.6,1,0,0,2,1180,2,520000000,589.7051474262869,0.9995002498750625,control_traffic
1764246458.5911489,1,"(1, '10.0.0.4', '10.0.0.7', 1, 0, 0)",10.0.0.4,10.0.0.7,1,0,0,5,2950,2,478000000,884.5577211394303,1.4992503748125938,control_traffic
1764246458.5911489,1,"(1, '10.0.0.1', '10.0.0.6', 1, 0, 0)",10.0.0.1,10.0.0.6,1,0,0,1,590,1,503000000,0.0,0.0,control_traffic
1764246458.5911489,1,"(1, '10.0.0.3', '10.0.0.7', 1, 0, 0)",10.0.0.3,10.0.0.7,1,0,0,2,1180,0,348000000,0.0,0.0,control_traffic
1764246458.591516,2,"(2, '10.0.0.6', '10.0.0.3', 17, 43931, 5002)",10.0.0.6,10.0.0.3,17,43931,5002,441,666792,6,561000000,755.2447552447553,0.4995004995004996,voip
1764246458.591516,2,"(2, '10.0.0.8', '10.0.0.4', 17, 45964, 5002)",10.0.0.8,10.0.0.4,17,45964,5002,432,653184,6,554000000,1510.48951048951,0.9990009990009987,voip
1764246458.591516,2,"(2, '10.0.0.6', '10.0.0.4', 17, 55371, 5003)",10.0.0.6,10.0.0.4,17,55371,5003,1766,2670192,4,557000000,142741.25874125873,94.4055944055944,background
1764246458.591516,2,"(2, '10.0.0.5', '10.0.0.2', 17, 38576, 5002)",10.0.0.5,10.0.0.2,17,38576,5002,357,539784,4,556000000,142741.25874125876,94.40559440559441,voip
1764246458.591516,2,"(2, '10.0.0.5', '10.0.0.2', 6, 36362, 80)",10.0.0.5,10.0.0.2,6,36362,80,327,944042,4,527000000,471475.52447552443,162.33766233766232,web
1764246458.591516,2,"(2, '10.0.0.2', '10.0.0.5', 6, 80, 36362)",10.0.0.2,10.0.0.5,6,80,36362,322,21304,3,490000000,10567.432567432566,159.84015984015983,web
1764246458.591516,2,"(2, '10.0.0.6', '10.0.0.1', 17, 40907, 5003)",10.0.0.6,10.0.0.1,17,40907,5003,1426,2156112,2,527000000,1036951.0489510489,685.8141858141857,background
1764246458.591516,2,"(2, '10.0.0.7', '10.0.0.4', 17, 37599, 5002)",10.0.0.7,10.0.0.4,17,37599,5002,227,343224,2,525000000,166153.84615384619,109.8901098901099,voip
1764246458.591516,2,"(2, '10.0.0.8', '10.0.0.1', 6, 35972, 80)",10.0.0.8,10.0.0.1,6,35972,80,2,148,2,480000000,73.92607392607394,0.9990009990009991,web
1764246458.591516,2,"(2, '10.0.0.1', '10.0.0.8', 6, 80, 35972)",10.0.0.1,10.0.0.8,6,80,35972,2,148,1,442000000,0.0,0.0,web
1764246458.591516,2,"(2, '10.0.0.5', '10.0.0.4', 17, 59795, 5003)",10.0.0.5,10.0.0.4,17,59795,5003,97,146664,0,392000000,0.0,0.0,background
1764246458.591516,2,"(2, '10.0.0.7', '10.0.0.3', 17, 57014, 5003)",10.0.0.7,10.0.0.3,17,57014,5003,85,128520,0,386000000,0.0,0.0,background
1764246458.591516,2,"(2, '10.0.0.6', '10.0.0.1', 17, 49911, 5002)",10.0.0.6,10.0.0.1,17,49911,5002,11,16632,0,386000000,0.0,0.0,voip
1764246458.591516,2,"(2, '10.0.0.8', '10.0.0.3', 17, 53923, 5001)",10.0.0.8,10.0.0.3,17,53923,5001,138,208656,0,385000000,0.0,0.0,video
1764246458.591516,2,"(2, '10.0.0.3', '10.0.0.6', 1, 0, 0)",10.0.0.3,10.0.0.6,1,0,0,9,5310,6,541000000,0.0,0.0,control_traffic
1764246458.591516,2,"(2, '10.0.0.4', '10.0.0.8', 1, 0, 0)",10.0.0.4,10.0.0.8,1,0,0,9,5310,6,533000000,0.0,0.0,control_traffic
1764246458.591516,2,"(2, '10.0.0.4', '10.0.0.6', 1, 0, 0)",10.0.0.4,10.0.0.6,1,0,0,8,4720,4,535000000,589.4105894105893,0.9990009990009989,control_traffic
1764246458.591516,2,"(2, '10.0.0.2', '10.0.0.5', 1, 0, 0)",10.0.0.2,10.0.0.5,1,0,0,9,5310,4,530000000,589.4105894105893,0.9990009990009989,control_traffic
1764246458.591516,2,"(2, '10.0.0.1', '10.0.0.6', 1, 0, 0)",10.0.0.1,10.0.0.6,1,0,0,7,4130,2,512000000,589.4105894105895,0.9990009990009991,control_traffic
1764246458.591516,2,"(2, '10.0.0.4', '10.0.0.7', 1, 0, 0)",10.0.0.4,10.0.0.7,1,0,0,7,4130,2,505000000,589.4105894105895,0.9990009990009991,control_traffic
1764246458.591516,2,"(2, '10.0.0.4', '10.0.0.5', 1, 0, 0)",10.0.0.4,10.0.0.5,1,0,0,2,1180,0,385000000,0.0,0.0,control_traffic
1764246458.591516,2,"(2, '10.0.0.3', '10.0.0.7', 1, 0, 0)",10.0.0.3,10.0.0.7,1,0,0,5,2950,0,368000000,0.0,0.0,control_traffic
1764246458.591516,2,"(2, '10.0.0.3', '10.0.0.8', 1, 0, 0)",10.0.0.3,10.0.0.8,1,0,0,4,2360,0,365000000,0.0,0.0,control_traffic
1764246460.5882993,1,"(1, '10.0.0.5', '10.0.0.2', 6, 36362, 80)",10.0.0.5,10.0.0.2,6,36362,80,461,1312006,8,596000000,109046.47676161917,40.479760119940025,web
1764246460.5882993,1,"(1, '10.0.0.6', '10.0.0.3', 17, 43931, 5002)",10.0.0.6,10.0.0.3,17,43931,5002,445,672840,8,594000000,0.0,0.0,voip
